cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"307","0","535034","1085460","Landmark Bank","Clinton","LA","70722","9/30/2018","11/14/2018","NM","12225 St. Helena Street","CLINTON BANCSHARES, INC.","4","0","0","4","1","East Feliciana","12940","Baton Rouge, LA","11/1/1897","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","landmarkbankla.com","89764","560","90324","0","90324","74808","74808","16200","13549","11571","1978","205","40475","4379","","2601","9180","","3684","0","0","136","3548","51","","0","51","0","0","0","","466","54","3308","12892","560",""
"4537","10195","103255","1054514","Landmark Bank","Columbia","MO","65201","9/30/2018","11/14/2018","NM","801 East Broadway","LANDRUM COMPANY","38","0","1","4","0","Boone","17860","Columbia, MO","7/19/1865","1/1/1934","12/29/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.landmarkbank.com","1908475","24078","1932553","0","1932553","1510751","1510751","253790","463243","215752","247491","68476","587983","137259","","37142","262835","0","74152","5231","1671","23719","43531","47672","","39109","7048","1515","0","0","0","4286","4133","40690","213100","24612",""
"57112","0","2963547","3734762","Landmark Community Bank","Pittston","PA","18640","9/30/2018","11/14/2018","SM","2 South Main Street","LANDMARK BANCORP INC","5","0","0","4","0","Luzerne","42540","Scranton-Wilkes-Barre-Hazleton, PA","3/1/2001","3/1/2001","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.landmarkcommunitybank.net","252509","2774","255283","0","255283","190634","190634","13926","122806","64977","57829","6066","47836","0","","0","26633","","28637","116","108","22579","5834","9379","","8453","30","896","0","0","","194","0","643","13283","2774",""
"34982","0","2758024","0","Landmark Community Bank","Collierville","TN","38017","9/30/2018","11/14/2018","NM","1015 West Poplar Avenue","","8","0","0","5","0","Shelby","32820","Memphis, TN-MS-AR","3/15/1999","3/15/1999","3/24/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","HTTPS://WWW.LCBTN.BANK","802278","6925","809203","0","809203","746910","746910","34628","90624","31617","59007","11465","602787","7406","","0","50318","0","6738","0","2691","433","3614","5237","","0","4963","0","274","6295","0","2177","285","18958","15670","6925",""
"5826","13644","481177","3030307","Landmark National Bank","Manhattan","KS","66502","9/30/2018","11/14/2018","N","701 Poyntz Avenue","LANDMARK BANCORP, INC.","29","0","0","8","0","Riley","31740","Manhattan, KS","5/2/1919","1/1/1934","11/1/2013","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.banklandmark.com","483225","5889","489114","0","489114","361784","361784","30839","107006","71103","35903","21286","158289","44364","","47012","69135","0","2419","0","93","1050","1276","8764","","2873","5774","117","0","0","0","3546","3361","3745","27094","6029",""
"11601","0","178150","1128189","Laona State Bank","Laona","WI","54541","9/30/2018","11/14/2018","NM","5308 Beech Street","NORTHERN WISCONSIN BANK HOLDING COMPANY, INC.","7","0","0","8","0","Forest","","","1/1/1914","1/1/1934","7/5/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","http://www.laonastatebank.com","110159","1199","111358","0","111358","82978","82978","1853","15383","8874","6509","428","57731","7583","","5096","14421","","6202","32","167","2740","3263","2661","","2647","14","0","0","0","","1809","1189","1780","73","1199",""
"22839","0","51356","1066964","Latimer State Bank","Wilburton","OK","74578","9/30/2018","11/14/2018","NM","301 West Main Street","FIRST LATIMER CORPORATION","1","0","0","7","1","Latimer","","","4/9/1979","4/9/1979","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","14214","186","14400","0","14400","5347","5347","845","557","557","0","0","3945","0","","1274","6084","","1577","0","0","122","1455","117","","0","117","0","0","1274","","0","0","0","845","186",""
"58257","0","3428258","3958821","LAUREL ROAD BANK","Darien","CT","6820","9/30/2018","11/14/2018","NM","1001 Post Rd","ALCAR INC.","3","0","0","6","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","4/24/2006","4/24/2006","1/12/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Hartford","New York","Northeastern","Northeast","0","1","www.laurelroad.com","422525","1502","424027","0","424027","187398","187398","20379","45166","14485","30681","15148","106705","0","","0","1162","","235467","0","29","0","235438","0","","0","0","0","0","0","","0","0","7441","12938","1502",""
"15320","0","855648","1204113","Laurens State Bank","Laurens","IA","50554","9/30/2018","11/14/2018","NM","102 South Third Street","LAURENS BANCORP., LTD.","3","0","0","2","1","Pocahontas","","","5/1/1935","12/16/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.laurensstatebank.com","30144","353","30497","0","30497","15936","15936","0","1529","1409","120","0","4849","9558","","9677","2794","","1647","0","26","830","791","443","","443","0","0","0","0","","0","0","0","0","353",""
"29186","3067","834175","0","Lawrenceburg Federal Bank","Lawrenceburg","TN","38464","9/30/2018","11/14/2018","SB","118 West Gaines Street","","1","0","0","5","0","Lawrence","","","10/1/1934","6/5/1935","5/31/2012","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","lawrenceburgfederal.com","59811","214","60025","0","60025","57968","57968","1918","0","0","0","173","55877","0","","0","0","","2057","0","0","1706","351","0","","0","0","0","0","0","","590","14","588","1330","214",""
