cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"8775","10979","839246","1132140","Bank of Columbia","Columbia","KY","42728","9/30/2018","11/14/2018","NM","144 Public Square","COLUMBIA BANCSHARES, INC.","3","0","0","2","1","Adair","","","1/1/1866","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.bankcolumbia.com","18541","13209","6401","14930","9823","596","10581","1464","2510","5706","901"
"13274","13499","152057","2480491","Bank of Commerce","Chelsea","OK","74016","9/30/2018","11/14/2018","SM","322 West Sixth","COMMERCE BANCSHARES, INC.","6","0","0","4","0","Rogers","46140","Tulsa, OK","3/23/1896","1/1/1934","7/21/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.bankboc.com","10205","8942","3660","8713","5684","1090","10435","2966","4969","2500","0"
"26217","13456","862057","2124795","Bank of Commerce","Chanute","KS","66720","9/30/2018","11/14/2018","SM","101 West Main Street","SOUTHEAST BANCSHARES, INC.","6","0","0","2","1","Neosho","","","5/2/1985","5/2/1985","2/26/2010","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","0","1","http://www.boc-ks.com","18080","8070","5136","15070","4692","1252","7361","1552","5058","751","0"
"9359","0","99442","2770660","Bank of Commerce","Greenwood","MS","38930","9/30/2018","11/14/2018","NM","310 Howard Street","COMMERCE BANCORP, INC","7","0","0","8","0","Leflore","","","8/4/1904","1/1/1934","3/1/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","http://WWW.BANKCOM.COM","50062","44785","21286","40993","31629","939","47210","17395","20059","9756","0"
"22639","14721","547550","1067701","Bank of Commerce","Rawlins","WY","82301","9/30/2018","11/14/2018","SM","Third And Buffalo","RAWLINS BANKSHARES, INC.","1","0","0","4","0","Carbon","","","4/20/1978","4/20/1978","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","WWW.BOCRAWLINS.COM","7745","16170","4816","13089","5356","654","7910","2787","4303","820","0"
"19829","0","944551","1417427","Bank of Commerce","Chouteau","OK","74337","9/30/2018","11/14/2018","NM","201-207 Main Street","BOC BANSHARES, INC.","1","0","0","8","1","Mayes","","","7/1/1968","7/1/1968","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.chouteauboc.com","5302","1612","3087","3442","385","0","1260","0","1260","0","0"
"57491","52630","3134698","3144295","Bank of Commerce","Duncan","OK","73534","9/30/2018","11/14/2018","NM","1601 W. Commerce","COMMERCE BANCORP, INC.","5","0","0","2","1","Stephens","","","12/16/2002","12/16/2002","7/31/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bocokonline.com","30735","33928","9963","25663","27225","1812","24202","3630","11492","7331","1749"
"422","14419","322850","2606321","Bank of Commerce","Stilwell","OK","74960","9/30/2018","11/14/2018","NM","24 West Division Street","PEOPLES COMMERCIAL BANCORP, INC.","3","0","0","4","1","Adair","","","1/1/1931","1/1/1934","7/11/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.bc-ok.bank","5681","4638","4324","4528","888","579","7848","1421","1000","3094","2333"
"10523","0","476539","0","Bank of Commerce & Trust Co.","Crowley","LA","70526","9/30/2018","11/14/2018","NM","326 North Avenue G","","5","0","0","2","0","Acadia","29180","Lafayette, LA","1/1/1926","1/1/1934","10/27/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","https://www.bankofcommerceandtrust.com","26583","20870","10714","29504","4518","2716","6768","0","5241","1527","0"
"4796","14415","431350","4419301","Bank of Commerce and Trust Company","Wellington","KS","67152","9/30/2018","11/14/2018","NM","201 West Harvey Avenue","TRI-COUNTY FINANCIAL CORPORATION","4","0","0","2","1","Sumner","48620","Wichita, KS","10/6/1906","1/1/1934","6/30/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","bankofcommerce.ws","12402","6124","3428","9629","5200","269","3069","0","1832","1237","0"
"9875","11655","464853","1063833","Bank of Cordell","Cordell","OK","73632","9/30/2018","11/14/2018","NM","808 North Glenn English","ROCKY FINANCIAL CORPORATION","1","0","0","4","1","Washita","","","5/29/1902","1/1/1934","1/1/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://bankofcordell.com","7487","5444","2125","9748","1058","0","5330","3768","1562","0","0"
