cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"4032","0","39756","1066003","NBC OKLAHOMA","Oklahoma City","OK","73156","9/30/2018","11/14/2018","NM","13401 N. Pennsylvania Ave.","NBC CORP. OF OKLAHOMA","8","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","8/1/1931","1/1/1934","2/8/2010","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.nbc.bank","526157","26022","8391","9986","11318","15542","6523","242967","46207","47920","42999","45894","18196"
"59052","0","4210227","3973888","NBH Bank","Greenwood Villag","CO","80111","9/30/2018","11/14/2018","SM","7800 E Orchard Rd Suite 200","NATIONAL BANK HOLDINGS CORPORATION","104","0","1","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","12/10/2010","12/10/2010","1/1/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","0","www.nbhbank.com","3985817","17465","39921","47664","64887","470881","115735","1903748","106151","317115","459320","331533","86940"
"35014","0","2747587","2772990","NBKC Bank","Overland Park","KS","66211","9/30/2018","11/14/2018","NM","10700 Nall Ave","AMERI-NATIONAL CORPORATION","4","0","1","4","1","Johnson","28140","Kansas City, MO-KS","3/30/1999","3/30/1999","12/18/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.nbkc.com","449865","105288","21620","17001","51086","8729","5240","72319","6482","74824","49258","26041","9030"
"7230","10286","702117","1139279","NBT Bank, National Association","Norwich","NY","13815","9/30/2018","11/14/2018","N","52 South Broad Street","NBT BANCORP INC.","154","0","1","4","0","Chenango","","","3/3/1856","1/1/1934","12/19/2016","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","www.nbtbank.com","6892334","50888","147300","323622","282927","567200","73088","2183888","931959","1613849","540057","111597","42658"
"5331","0","881544","1248555","NBW BANK","Waupun","WI","53963","9/30/2018","11/14/2018","SM","210 East Main Street","NATIONAL BANCSHARES WAUPUN, INC.","4","0","0","4","0","Fond Du Lac","22540","Fond du Lac, WI","9/1/1905","1/1/1934","8/1/2017","Stock","0","0","FED","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.nbwbank.com","109859","958","2696","7206","5648","657","0","19008","20976","31644","11317","9661","25"
"58724","18064","3614846","4181130","Nebraska Bank of Commerce","Lincoln","NE","68516","9/30/2018","11/14/2018","NM","6000 Village Drive, # 100","NBC BANCSHARES LLC","2","0","0","4","0","Lancaster","30700","Lincoln, NE","12/3/2007","12/3/2007","2/5/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.thenbcbank.com","126284","3170","1504","3891","13096","1140","0","14237","6005","32204","42353","8658","0"
"16516","0","514057","1840801","Nebraska State Bank","Lynch","NE","68746","9/30/2018","11/14/2018","NM","202 N 4th St","JDJ BANCO, INC.","1","0","0","2","0","Boyd","","","12/9/1946","12/9/1946","6/9/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","6904","27","254","60","54","0","0","845","1074","830","2227","1328","0"
"9819","52466","911759","1051399","Nebraska State Bank","Oshkosh","NE","69154","9/30/2018","11/14/2018","NM","218 Main Street","O & F CATTLE COMPANY","1","0","0","2","1","Garden","","","6/21/1921","1/1/1934","7/24/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.fsa-loans.com","37456","0","0","0","0","0","0","28488","382","3347","2082","1200","1958"
"13696","0","70955","0","Nebraska State Bank","Bristow","NE","68719","9/30/2018","11/14/2018","NM","301 Prairie Street","","1","0","0","2","0","Boyd","","","11/14/1924","1/19/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","9774","0","32","84","184","0","0","836","1743","1477","4249","1169","0"
"8322","52873","412153","1051072","Nebraska State Bank and Trust Company","Broken Bow","NE","68822","9/30/2018","11/14/2018","NM","945 South D Street","FIRST CENTRAL NEBRASKA CO.","5","0","0","2","1","Custer","","","2/23/1917","1/1/1934","1/5/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.nesb.bank","211480","913","637","1410","2112","15273","136","71235","14427","22354","48298","31034","3518"
