cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eintexp,edepdom,edepfor,efrepp,ettlotmg,IDEOTHINT,esubnd
"1908","0","190956","0","The Wanda State Bank","Wanda","MN","56294","9/30/2018","11/14/2018","NM","121 W Main","","1","0","0","2","0","Redwood","","","6/1/1932","1/1/1934","5/10/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.wandastatebank.com","530","527","","3","0","","0"
"17193","0","199137","1129515","The Warrington Bank","Pensacola","FL","32507","9/30/2018","11/14/2018","NM","4093 Barrancas Avenue","FIVE FLAGS BANKS, INC.","2","0","0","7","0","Escambia","37860","Pensacola-Ferry Pass-Brent, FL","3/18/1953","3/18/1953","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.warringtonbank.com","53","53","","0","","0",""
"23623","9487","816603","1115349","The Washington Trust Company, of Westerly","Westerly","RI","2891","9/30/2018","11/14/2018","NM","23 Broad Street","WASHINGTON TRUST BANCORP, INC.","24","0","1","4","0","Washington","39300","Providence-Warwick, RI-MA","1/1/1800","1/2/1982","1/1/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.washtrust.com","30685","16222","","0","14463","","0"
"8397","14267","324229","4452401","The Waterford Commercial and Savings Bank","Waterford","OH","45786","9/30/2018","11/14/2018","NM","20115 State Route 339","2012 WATERFORD COMMERCIAL & SAVINGS BANK SHAREHOLDERS VOTING TRUST","2","0","0","8","0","Washington","","","1/1/1908","1/1/1934","2/21/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.waterfordbank.com","66","64","","0","","2",""
"18071","0","437044","0","The Watkins Savings Bank","Watkins","IA","52354","9/30/2018","11/14/2018","NM","202 First Street","","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","1/1/1892","9/1/1959","9/1/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://watkinsbank.com","333","330","","3","","0",""
"58652","0","3716320","3716339","The Westchester Bank","Yonkers","NY","10710","9/30/2018","11/14/2018","NM","1900 Central Park Ave","WESTCHESTER BANK HOLDING CORPORATION, THE","7","0","0","4","0","Westchester","35620","New York-Newark-Jersey City, NY-NJ-PA","6/18/2008","6/18/2008","6/30/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.thewestchesterbank.com","4022","2850","","1","1171","","0"
"21121","0","988153","1051979","The Western State Bank","Garden City","KS","67846","9/30/2018","11/14/2018","NM","1500 East Kansas Avenue","WHITCORP FINANCIAL COMPANY","9","0","0","2","1","Finney","","","6/19/1973","6/19/1973","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.wsbks.com","1158","1158","","0","0","","0"
"31539","7147","87476","0","The Wilmington Savings Bank","Wilmington","OH","45177","9/30/2018","11/14/2018","NM","184 North South Street","","2","0","0","5","0","Clinton","","","1/1/1890","11/9/1967","6/5/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.wilmingtonsavings.com","1036","737","","0","","299",""
"12136","53047","501655","2356251","The Wilson State Bank","Wilson","KS","67490","9/30/2018","11/14/2018","NM","422 26th Street","WILSON BANCSHARES, INC.","4","0","0","2","1","Ellsworth","","","7/16/1886","1/1/1934","1/22/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.wilsonstatebank.net","320","244","","1","75","","0"
"1978","12067","680457","1124921","The Yellowstone Bank","Laurel","MT","59044","9/30/2018","11/14/2018","SM","12 First Avenue","YELLOWSTONE HOLDING COMPANY","9","0","0","4","1","Yellowstone","13740","Billings, MT","5/26/1926","3/16/1934","5/3/2016","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","yellowstonebank.com","1825","1502","","195","","128",""
