cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"19230","0","775241","0","Community National Bank in Monmouth","Monmouth","IL","61462","9/30/2018","11/14/2018","N","311 North Main Street","","1","0","0","2","0","Warren","","","9/10/1964","9/10/1964","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.cnbmonmouth.com","2.26268412438625","3.90840537060879","","9.94914176732359","","1.80732612554462","","1.80732612554462","2.64931443179177","7.63067531476536E-02","","7.63067531476536E-02","0.100603621730382","0","","0"
"25161","10925","371559","2015857","Community National Bank of Okarche","Okarche","OK","73762","9/30/2018","11/14/2018","N","653 Us Hwy 81","NORTHWEST SOONER BANCSHARES, INC.","2","0","0","2","1","Kingfisher","","","5/18/1984","5/18/1984","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.cnbbanker.com","0","0","0","0","","0","","0","0","0","","0","0","0","",""
"2787","12388","466932","1836475","Community Neighbor Bank","Camden","AL","36726","9/30/2018","11/14/2018","NM","3 Water Street","FIRST CAMDEN BANCSHARES, INC.","3","0","0","8","0","Wilcox","","","4/1/1906","1/1/1934","12/30/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.cnbal.net","1.09834431132831","1.58137317228226","3.06242638398115","0","0","2.62241689128482","0","2.73916358730717","0.342637472839713","0.423096067695371","","0.423096067695371","0.85701398285972","0.257776250214814","","0"
"14604","0","527057","3658028","Community Point Bank","Russellville","MO","65074","9/30/2018","11/14/2018","NM","13218 Railroad Avenue","RUSSELLVILLE BANCORP, INC.","3","0","0","2","1","Cole","27620","Jefferson City, MO","7/19/1934","7/28/1934","6/6/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.ourcpb.com","7.10118225088285E-02","8.10341501061162E-02","0","0","0","0.197994908702348","0","0.198481459311301","0","0.242986525292688","","0.242986525292688","0","0.417615793470008","","0"
"5219","11335","813853","2339562","Community Resource Bank","Northfield","MN","55057","9/30/2018","11/14/2018","SM","1605 Heritage Drive","BARLOW BANKING CORPORATION","4","0","0","4","0","Rice","","","9/18/1878","1/1/1934","6/1/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.community-resourcebank.com","0.211113340690947","0.172213395323047","0","0.396085740913327","0","0","0","0","0.600244055275222","0","0","0","0","0","","0"
"27969","646","476472","0","Community Savings","Caldwell","OH","43724","9/30/2018","11/14/2018","SA","425 Main Street","","1","0","0","5","0","Noble","","","1/1/1885","1/5/1953","1/10/2017","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.mycommunitysavings.com","1.25747449876891","1.49821890060767","3.17775571002979","4.66008771929825","0","1.21287513605971","0.260552371026576","1.28964503255619","","0","","0","0","0","","0"
"14633","9324","646743","1131488","Community Savings Bank","Edgewood","IA","52042","9/30/2018","11/14/2018","NM","101 East Union Streets","COMMUNITY FINANCIAL CORP.","11","0","0","2","1","Delaware","","","1/10/1910","8/3/1934","6/3/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.csbiowa.com","1.55094312331937","1.10593181610456","0.302315738557349","0.372731886816394","0","1.13947383120147","0","1.19532417308763","2.92268375791011","0.339459206367786","","0.339459206367786","0","0.529680365296804","0","13.3955065705808"
"28841","2470","520777","0","Community Savings Bank","Chicago","IL","60641","9/30/2018","11/14/2018","SB","4801 West Belmont Street","","2","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1925","4/25/1938","3/31/2006","Non-Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.communitysavingsbank.bank","0.412186457848717","0.412342435604116","","0.256948310564858","0","0.599594868332208","5.38386992570259E-02","0.636107569175798","","0","","0","","0","","0"
"32286","8094","847979","0","Community Savings Bank","Bethel","OH","45106","9/30/2018","11/14/2018","NM","503 West Plane Street","","2","0","0","4","0","Clermont","17140","Cincinnati, OH-KY-IN","4/6/1889","3/25/1985","1/1/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.bankwith-csb.com","0.246958296975584","0.272291606157421","0","0","0","0.409455696893596","0","0.437777258930656","0","0","","0","","0","","0"
"34944","0","2735324","2735333","Community Shores Bank","Muskegon","MI","49441","9/30/2018","11/14/2018","NM","1030 West Norton Avenue","COMMUNITY SHORES BANK CORPORATION","4","0","0","4","0","Muskegon","34740","Muskegon, MI","1/15/1999","1/15/1999","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.communityshores.com","1.41741791188134","2.00539797321383","0","2.85095360004848","0","0.368612829421235","0","0.397532556545579","0.210915416394868","0","","0","0","0","0","0"
