cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"17870","14455","758703","2687795","Cambridge Savings Bank","Cambridge","MA","2138","9/30/2018","11/14/2018","SB","1374 Massachusetts Avenue","CAMBRIDGE FINANCIAL GROUP, INC.","17","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","4/2/1834","7/2/1958","1/7/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.cambridgesavings.com","2902764","2902764","2869307","2","30071","3384","0","0","","165851","96094","2736913","1638003","450465","648445","2806670","569286","2333478","2619404","2007050","92984","145680","145680","0","",""
"10987","0","338851","0","Cambridge State Bank","Cambridge","MN","55008","9/30/2018","11/14/2018","NM","127 South Main","","4","0","0","4","1","Isanti","33460","Minneapolis-St. Paul-Bloomington, MN-WI","2/19/1914","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.cambridgestatebank.com","70310","70310","69220","0","1090","0","0","0","","32769","13917","37541","26198","0","11343","56393","13917","56393","70310","56602","1853","0","0","0","",""
"8152","0","736206","1115013","Cambridge Trust Company","Cambridge","MA","2138","9/30/2018","11/14/2018","NM","1336 Massachusetts Avenue","CAMBRIDGE BANCORP","14","0","1","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1890","1/1/1934","4/1/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","WWW.CAMBRIDGETRUST.COM","1735775","1735775","1730676","0","5024","76","0","0","","348447","295096","1387329","119241","1154461","113628","1440680","510448","1225327","1680100","1045526","16786","27494","27494","0","",""
"10471","0","302133","1206649","Camp Grove State Bank","Camp Grove","IL","61424","9/30/2018","11/14/2018","SM","26 Main Street","CAMP GROVE BANCORP, INC.","1","0","0","2","1","Marshall","37900","Peoria, IL","1/1/1902","1/1/1934","1/1/2013","Stock","0","0","FED","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","15120","15120","11872","0","422","2826","0","0","","5697","1236","9423","1892","1445","6086","13884","1236","13884","12294","14115","1208","2826","2826","0","",""
"16161","15594","293651","0","Campbell County Bank, Inc.","Herreid","SD","57632","9/30/2018","11/14/2018","NM","110 North Main St.","","2","0","0","2","1","Campbell","","","6/13/1944","6/13/1944","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.campbellcountybank.com","60963","60963","53582","0","6685","696","0","0","","24700","11994","36263","0","13315","22948","48969","12066","48897","51547","47580","1351","6604","6604","0","",""
"10840","0","424437","0","Campus State Bank","Campus","IL","60920","9/30/2018","11/14/2018","NM","206 Center St","","1","0","0","2","0","Livingston","","","1/1/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.campustatebank.com","18327","18327","16604","4","1719","0","0","0","","6259","3565","12068","2084","4261","5723","14762","3697","14630","18327","17752","393","0","0","0","",""
"26450","5824","379470","0","Canton Co-operative Bank","Canton","MA","2021","9/30/2018","11/14/2018","SM","671 Washington Street","","1","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1891","12/5/1985","5/18/2011","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.cantoncoopbank.com","89166","89166","89166","0","0","0","0","0","","24722","5717","64444","17909","23690","22845","83449","5717","83449","84448","71611","3464","0","0","0","",""
"15285","0","481140","1095021","Canton State Bank","Canton","MO","63435","9/30/2018","11/14/2018","NM","100 South 4th Street","CANTON BANCSHARES, INC.","1","0","0","2","0","Lewis","","","9/27/1935","10/1/1935","8/12/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.cantonstatebank.com","28316","28316","25405","0","2910","0","0","0","","12101","10306","16214","2667","4150","9399","18009","10307","18009","28316","21384","961","0","0","0","",""
"35547","0","2919423","4842329","Canyon Community Bank, National Association","Tucson","AZ","85704","9/30/2018","11/14/2018","N","7981 North Oracle Road","CCBS HOLDING LLC","3","0","0","4","0","Pima","46060","Tucson, AZ","10/10/2000","10/10/2000","3/2/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.canyoncommunity.com","81432","81432","81432","0","0","0","0","0","","49059","39741","32373","23011","3467","5896","41691","22506","58927","79728","56592","389","0","0","0","",""
"90203","0","627108","0","Cape Ann Savings Bank","Gloucester","MA","1930","9/30/2018","11/14/2018","SB","109 Main Street","","4","0","0","8","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","4/15/1846","10/22/1985","2/1/2017","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","capeannsavingsbank.com","453936","453936","452924","0","1011","0","0","0","","127926","23580","326009","28530","108485","188993","430355","23580","430356","403945","410454","46313","0","0","0","",""
"26517","1456","119779","3444801","Cape Cod Co-operative Bank","Yarmouth Port","MA","2675","9/30/2018","11/14/2018","SB","121 Main Street","COASTAL AFFILIATES, MHC","12","0","0","4","0","Barnstable","12700","Barnstable Town, MA","1/1/1921","1/22/1986","3/6/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.mycapecodbank.com","802827","802827","749058","0","53769","0","0","0","","95460","64832","707367","297772","294640","114956","737995","64832","737995","755707","590520","15277","0","0","0","",""
"19195","14472","80936","1081378","Capital Bank","Fort Oglethorpe","GA","30742","9/30/2018","11/14/2018","NM","625 Battlefield Parkway","CATOOSA BANCSHARES, INC.","3","0","0","4","1","Catoosa","16860","Chattanooga, TN-GA","8/7/1964","8/7/1964","10/23/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.capitalbank-ga.com","106948","106948","106041","0","907","0","0","0","","57179","29368","49769","13851","23223","12695","77580","29818","77130","106261","101397","4196","0","0","0","",""
"19401","0","596156","3072660","Capital Bank","Jacinto City","TX","77029","9/30/2018","11/14/2018","NM","10304 East Freeway","JANE AUSTIN CHAPMAN LIMITED PARTNERSHIP, L.P.","8","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","4/10/1965","4/10/1965","1/1/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.capitalbanktx.com","380911","380911","366061","0","14592","258","0","0","","27122","24849","353789","69546","160555","123689","356062","140235","240676","340247","298606","11898","1465","1465","0","",""
"35164","15674","2921659","0","Capital Bank and Trust Company","Irvine","CA","92618","9/30/2018","11/14/2018","SA","6455 Irvine Center Drive","","2","0","1","5","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","7/1/2000","7/1/2000","3/2/2018","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","www.americanfunds.com","500","500","500","0","0","0","0","0","","0","0","500","0","500","0","500","0","500","500","250","0","0","0","0","",""
"58464","0","3595262","0","Capital Bank of New Jersey","Vineland","NJ","8360","9/30/2018","11/14/2018","NM","175 South Main Road","","4","0","0","4","0","Cumberland","47220","Vineland-Bridgeton, NJ","4/23/2007","4/23/2007","4/3/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.cbnj.bank/","446240","446240","358315","0","83988","3937","0","0","","227161","125028","219079","116231","47755","55094","321212","125028","321212","416386","268297","4593","0","0","748","",""
"57495","0","3134399","0","Capital Bank of Texas","Carrizo Springs","TX","78834","9/30/2018","11/14/2018","NM","2105 North First Street","","3","0","0","7","0","Dimmit","","","5/9/2003","5/9/2003","1/16/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.capitalbankoftexas.com","57630","57630","49803","0","7827","0","0","0","","36538","22354","21092","8236","6565","6291","35276","22354","35276","56115","50623","899","0","0","0","",""
