cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"33568","0","1945247","2259268","United Bank of Philadelphia","Philadelphia","PA","19102","9/30/2018","11/14/2018","NM","30 S. 15th St., 1st Fl.","UNITED BANCSHARES, INC.","4","0","0","4","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","3/23/1992","3/23/1992","4/15/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.ubphila.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14334","0","562058","1248368","United Bank of Union","Union","MO","63084","9/30/2018","11/14/2018","NM","15 East Main Street","CARDINAL BANCORP II, INC.","3","0","0","4","1","Franklin","41180","St. Louis, MO-IL","3/22/1934","5/7/1934","6/30/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.ubu.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22180","0","930358","2291727","United Bankers' Bank","Bloomington","MN","55431","9/30/2018","11/14/2018","SM","1650 W 82nd St, Suite 1500","UNITED BANKERS' BANCORPORATION, INC","2","0","1","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","12/15/1975","12/15/1975","7/23/2016","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","0","www.ubb.com","44185","2","1291","42892","23471","5335","4625","13511","2350","0","0","2350","1076","129","150","797","90","1","8","81","1621","1500","68","53","7","0","0","7","6","3","1","2"
"57716","0","3281510","5069897","United Business Bank","Walnut Creek","CA","94596","9/30/2018","11/14/2018","SM","500 Ygnacio Valley Rd Suite","BAYCOM CORP","17","0","1","4","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","7/20/2004","7/20/2004","11/4/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","http://www.unitedbusinessbank.com","106068","158","7664","98246","46845","1507","10264","35074","1511","0","916","595","2782","127","1276","1379","338","7","69","262","321","66","109","146","10","0","7","3","16","3","9","4"
"15249","9186","336147","1137145","United Citizens Bank & Trust Company","Campbellsburg","KY","40011","9/30/2018","11/14/2018","NM","8198 Main Street","UNITED CITIZENS FINANCIAL CORPORATION","5","0","0","2","0","Henry","31140","Louisville-Jefferson County, KY-IN","1/1/1872","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.unitedcitizensbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57867","0","3306598","3370085","United Citizens Bank of Southern Kentucky","Columbia","KY","42728","9/30/2018","11/14/2018","NM","700 Jamestown Street","UNITED CITIZENS BANCORP, INC.","4","0","0","2","0","Adair","","","12/6/2004","12/6/2004","7/29/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.ucbsky.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19143","10326","90337","1977154","United Community Bank","Raceland","LA","70394","9/30/2018","11/14/2018","NM","4626 Highway #1","COMMUNITY BANCORP OF LOUISIANA, INC.","10","0","0","4","1","Lafourche","26380","Houma-Thibodaux, LA","6/20/1964","6/20/1964","3/23/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","HTTP://WWW.UCBANKING.COM","58846","3166","8249","47431","31378","6120","5242","20016","459","0","163","296","290","1","0","289","283","80","74","129","449","328","54","67","2","0","1","1","2","1","0","1"
"8544","11950","847157","1126242","United Community Bank","Perham","MN","56573","9/30/2018","11/14/2018","NM","301 West Main Street","PERHAM STATE BANCSHARES, INC.","4","0","0","4","1","Otter Tail","","","1/1/1911","1/1/1934","6/26/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.ucbankmn.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19459","11023","439338","1097182","United Community Bank","Chatham","IL","62629","9/30/2018","11/14/2018","NM","301 North Main Street","UNITED COMMUNITY BANCORP, INC.","40","0","0","4","0","Sangamon","44100","Springfield, IL","7/12/1965","7/12/1965","3/10/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.ucbbank.com","90305","11660","21629","57016","81994","17661","16073","48260","83926","9830","31071","43025","54768","19340","19327","16101","613","252","195","166","1195","850","184","161","666","242","259","165","1116","865","176","75"
"13656","14255","884648","1201952","United Community Bank","Milford","IA","51351","9/30/2018","11/14/2018","NM","1000 Okoboji Avenue","MILFORD BANCORPORATION","5","0","0","2","1","Dickinson","","","6/10/1931","11/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","www.unitedcommunitybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
